11841	12249	12395	12617	13305	13817	14562	15009
11800	12191	12398	12532	13295	13917	14627	15064
11805	12260	12344	12601	13300	13818	14563	15007
11845	12243	12402	12531	13204	13828	14574	15001
11797	12254	12408	12533	13313	13830	14620	15010
11798	12200	12342	12600	13300	13925	14565	15007
11852	12192	12401	12617	13197	13834	14567	15012
11847	12255	12406	12529	13200	13839	14568	14995
11806	12203	12410	12532	13204	13928	14566	15003
11839	12192	12403	12616	13307	13861	14576	15009
11848	12248	12343	12608	13206	13933	14562	15012
11797	12249	12406	12617	13195	13931	14634	15003
11796	12195	12404	12611	13311	13857	14579	15020
11845	12247	12398	12607	13203	13938	14626	15007
11838	12201	12336	12534	13314	13855	14577	15006
11801	12258	12340	12536	13316	13858	14583	15014

