62281	50215	49309	49000	48881	48865	48832	48831	48783
62281	50242	49291	48879	48880	48750	48832	48838	48656
62274	50253	49289	49005	48883	48881	48709	48838	48777
62273	50164	49293	48865	48758	48752	48846	48720	48647
62281	50237	49292	48987	48896	48754	48846	48834	48780
62274	50220	49291	48879	48901	48884	48849	48843	48788
62277	50232	49283	48883	48909	48884	48849	48846	48786
62264	50206	49195	48992	48906	48757	48723	48842	48643
62275	50227	49297	48990	48913	48873	48731	48843	48781
62273	50235	49318	48995	48794	48877	48848	48837	48779
62275	50237	49325	48992	48781	48873	48851	48834	48778
62270	50236	49323	48998	48913	48745	48844	48846	48781
62277	50230	49328	48994	48903	48876	48716	48842	48776
62281	50213	49324	48995	48783	48876	48848	48843	48774
62273	50214	49236	48995	48905	48737	48850	48843	48778
62276	50218	49312	48993	48910	48759	48853	48839	48655

