19069	19102	19122	19131	19184	19222	19244	19284
19080	19107	19128	19131	19183	19227	19242	19267
19075	19112	19134	19119	19187	19223	19244	19282
19077	19105	19117	19139	19184	19222	19245	19271
19073	19108	19129	19130	19187	19232	19244	19271
19076	19113	19125	19119	19187	19226	19239	19274
19069	19100	19124	19129	19194	19222	19245	19274
19074	19112	19130	19127	19187	19230	19242	19278
19070	19116	19130	19124	19191	19228	19239	19274
19081	19104	19126	19118	19183	19226	19247	19277
19082	19117	19121	19128	19182	19226	19246	19272
19076	19101	19133	19120	19183	19221	19249	19280
19075	19107	19127	19130	19187	19222	19247	19273
19080	19102	19128	19127	19195	19223	19248	19274
19079	19100	19138	19131	19192	19224	19243	19277
19078	19113	19129	19129	19188	19229	19246	19272

