53333	53761	53829	53761	53970	54114	54117	54435
53324	53764	53836	53758	53971	54101	54264	54418
53321	53771	53833	53876	53981	54118	54255	54429
53289	53770	53827	53877	53967	54102	54097	54432
53334	53764	53838	53871	53869	54111	54260	54240
53334	53759	53701	53873	53970	54103	54266	54261
53336	53771	53834	53870	53974	54114	54117	54250
53330	53761	53834	53879	53966	54112	54270	54433
53341	53769	53710	53871	53970	53988	54271	54260
53343	53771	53833	53877	53872	54119	54261	54241
53337	53774	53699	53879	53968	53997	54254	54260
53344	53639	53832	53874	53977	54109	54124	54420
53344	53778	53833	53880	53971	54102	54261	54433
53346	53762	53839	53878	53976	54111	54112	54259
53347	53770	53833	53878	53978	54113	54270	54428
53350	53766	53832	53774	53883	54116	54280	54256

